,endTime,artistName,trackName,msPlayed
349,2023-11-14 13:49,aupinard,quel type de vibe?,6664
350,2023-11-14 13:51,Disiz,SUBLIME,155893
351,2023-11-14 13:53,Zuukou mayzie,Je t'aime si je peux (Interlude),6578
352,2023-11-14 13:53,Krisy,AU CLUB,108805
353,2023-11-14 13:54,Senamo,Fleurs du mal,86093
354,2023-11-14 13:58,Nekfeu,Egérie,210453
355,2023-11-14 14:00,aupinard,texto,142429
356,2023-11-14 14:03,Disiz,OH MADELEINE,158853
357,2023-11-14 14:06,Krisy,C'EST UN MOOD,156923
358,2023-11-14 14:08,Moji x Sboy,ELLE PLEURE EN HIVER,169110
359,2023-11-14 14:11,Smeels,Bleu ciel,168000
360,2023-11-14 14:12,Caballero,Goût du beurre,68360
361,2023-11-14 14:14,Disiz,C'EST LE LOVE MAGUEULE,100666
362,2023-11-14 14:17,Nekfeu,Ken Kaneki,162960
363,2023-11-14 14:18,Alpha Wann,mitsubishi,86560
364,2023-11-14 14:20,Bekar,Un matelas sur le sol,128280
365,2023-11-14 14:23,Luidji,Pour deux âmes solitaires (Part.1),129717
366,2023-11-14 14:25,Zuukou mayzie,Vincent,166153
367,2023-11-14 14:28,Disiz,ALL IN,146906
368,2023-11-14 14:31,Nekfeu,Energie sombre,204346
369,2023-11-14 14:34,Biga*Ranx,Petite Marie (Fanzine Remix),166800
370,2023-11-14 14:35,Nemir,Ça sert,84692
371,2023-11-15 08:45,Nemir,Doucement,25571
372,2023-11-15 08:46,Nemir,Ça sert,222117
373,2023-11-15 08:49,Moji x Sboy,AMOUR SEXTASY,165085
374,2023-11-15 08:50,Bekar,Magenta,105786
375,2023-11-15 08:53,Luidji,Pour deux âmes solitaires (Part.1),129717
376,2023-11-15 08:55,Disiz,CONS’ DE LOVE,165826
377,2023-11-15 09:04,Nekfeu,Energie sombre,204346
378,2023-11-15 09:06,Alpha Wann,mitsubishi,86560
379,2023-11-15 09:10,Gros Mo,Paradis Artificiel,252006
380,2023-11-15 09:13,Zuukou mayzie,Vincent,166153
381,2023-11-15 09:16,Primero,Capricorne,178266
382,2023-11-15 09:18,Disiz,ALL IN,146906
383,2023-11-15 09:22,Nekfeu,Ecrire,221253
384,2023-11-15 09:25,Népal,Skyclub,190066
385,2023-11-15 09:28,Biga*Ranx,Petite Marie (Fanzine Remix),166800
386,2023-11-15 09:29,Bekar,Vide sentimental,68015
387,2023-11-15 13:23,Demurely,Aura,128002
388,2023-11-15 13:28,fontatron,spinal chords,130140
389,2023-11-15 13:30,pemil,in writing,167890
390,2023-11-15 13:33,Hammocks & Lime,Tuesday canceled,125964
391,2023-11-15 13:35,Ryder 003,adjustment,126830
392,2023-11-15 13:37,A Space for Rent,Closing Time,112719
393,2023-11-15 13:38,Kolorama,shelter,104450
394,2023-11-15 13:40,Illum Noyz,Remedies,132413
395,2023-11-15 13:42,Mossdeep,Flower Kingdom,120480
396,2023-11-15 13:44,Convivial,Levitate,116030
397,2023-11-15 13:47,Yoga at the Disco,Woollen Potato,132926
398,2023-11-15 13:48,Alek Faith,Friday Dazed,111439
399,2023-11-15 13:50,Rustique Beats,late night walking,107540
400,2023-11-15 13:52,A Space for Rent,Time Warp,128020
401,2023-11-15 13:55,louke's beats,ethereal,137160
402,2023-11-15 13:57,aUra Lu,follow curves,119020
403,2023-11-15 13:59,Sleepy Titan,In-N-Out,121640
404,2023-11-15 14:00,eze east,Melt,106670
405,2023-11-15 14:03,ohlos,Surf Tiger,154370
406,2023-11-15 14:05,LVTA,silver sky,111260
407,2023-11-15 14:07,Demurely,Blanket,123880
408,2023-11-15 14:09,Galva-Nice,Who's Driving?,124830
409,2023-11-15 14:10,Spitzgefühl,Sun Course,99149
410,2023-11-15 14:12,Fya Playce,Soul of Serenity,109690
411,2023-11-15 14:14,Loomington,Donuts,130370
412,2023-11-15 14:16,Ramsey Road,Sushi Brain,118220
413,2023-11-15 14:18,Velvet Haven,Are We There Yet,137760
414,2023-11-15 14:21,Young Coyotes,Drowsy Delight,122200
415,2023-11-15 14:23,G:sson,Shifting Sands,137160
416,2023-11-15 14:25,Fritz Pants,Sayuri,129000
417,2023-11-15 14:27,Idris Kelly,Lo-fi Love Letters,117640
418,2023-11-15 14:29,Breakfast For Brunch,Maca,138840
419,2023-11-15 14:31,Wavy Naps,Swaype,129780
420,2023-11-15 14:36,Convivial,Softly Whispering,152750
421,2023-11-15 14:39,Blue Bag,big hoodie,131663
422,2023-11-15 14:49,T.O.M,One Flame,156210
423,2023-11-15 14:51,bripp,My Name Is Tired,142957
424,2023-11-15 14:53,Fya Playce,Wait For Spring,108470
425,2023-11-15 14:55,justregular,The Night Shop,116949
426,2023-11-15 14:57,Birds Of The West,Thriller,121460
427,2023-11-15 14:59,ATONED,Warm Weather,145490
428,2023-11-15 15:01,Monsieur Crème,Talk The Talk,127278
429,2023-11-15 15:03,LYXOc,Time And Place,114729
430,2023-11-15 15:06,.Night,tandem,141150
431,2023-11-15 15:07,Slow Bounce,Scratched CD-RW,93559
432,2023-11-15 15:09,Chill West,Comfort Zone,132950
433,2023-11-15 15:11,Umha,Snowfall,117112
434,2023-11-15 15:13,lukayo,Slumber,100990
435,2023-11-15 15:14,Nazaha,river of you,93904
436,2023-11-15 15:16,herbstreit,adrift in LA,124392
437,2023-11-15 15:20,mennasa,"love me, kyoto",193426
438,2023-11-15 15:22,Choftus Leek,Fluffity,152840
439,2023-11-15 15:24,Chetco Effect,Home,108950
440,2023-11-15 15:26,M.I Hakone,The Almost,111309
441,2023-11-15 15:28,Sto Nii,autumn nights,95535
442,2023-11-15 15:29,Popcorn Trees,Esther,95604
443,2023-11-15 15:31,Mwuah,Call It A Day,121571
444,2023-11-15 15:34,Nick Mosh,INI,131570
445,2023-11-15 15:40,Lazarus best for us,Snowstorm Monster,131808
446,2023-11-15 15:42,dLira,bastu,100002
447,2023-11-15 15:48,Dj Screech,nostalgic memories,110340
448,2023-11-16 15:29,Bekar,Vide sentimental,60552
449,2023-11-16 15:33,Nekfeu,Mauvaise graine,238450
450,2023-11-16 15:38,Alpha Wann,R5 et Murcielago,181013
451,2023-11-16 15:40,Primero,Fourmilière,174800
