,endTime,artistName,trackName,msPlayed
9024,2023-11-24 17:59,Juliette Armanet,Flamme,147183
9025,2023-11-24 17:59,Flavien Berger,Maddy La Nuit,790
9026,2023-11-24 17:59,Juliette Armanet,Sauver Ma Vie,12530
9027,2023-11-24 18:02,Sexy Sushi,Princesse voiture,169493
9028,2023-11-24 18:05,La Femme,Si un jour,158413
9029,2023-11-24 18:05,Alice et Moi,Je n'ai rien à faire,29535
9030,2023-11-24 18:09,Sexy Sushi,Princesse voiture,169493
9031,2023-11-24 18:11,La Femme,Si un jour,158413
9032,2023-11-24 18:13,Alice et Moi,Je n'ai rien à faire,96640
9033,2023-11-24 18:16,ascendant vierge,Aimer sur le long terme,205720
9034,2023-11-24 18:18,Nils Handz,l'Homme Alone,136756
9035,2023-11-24 18:21,Sexy Sushi,Princesse voiture,169493
9036,2023-11-24 18:21,La Femme,Si un jour,10742
9037,2023-11-24 18:24,Sexy Sushi,Princesse voiture,167875
9038,2023-11-24 18:24,La Femme,Si un jour,852
9039,2023-11-24 19:04,Sexy Sushi,Princesse voiture,223930
9040,2023-11-24 19:05,Bolivard,Bolivard News,59328
9041,2023-11-24 21:13,Bolivard,Bolivard News,52815
9042,2023-11-24 21:17,Bolivard,Je danse,178145
9043,2023-11-24 21:22,Bolivard,Psychopathe,198000
9044,2023-11-24 21:25,Bolivard,Psychoville,135587
9045,2023-11-24 21:26,Bolivard,M. Bolivard,47901
9046,2023-11-24 21:30,Barry Manilow,Copacabana (At the Copa),236760
9047,2023-11-24 21:34,Boney M.,Sunny,242240
